title,item_price,shipping,total,url
"Transformers Brawn Complete SS-80 Studio Series Deluxe Class
Opens in a new window or tab",20.97,0.0,20.97,https://www.ebay.com/itm/136683233313?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW802NQBNA4P1F5WJNVH&hash=item1fd2f4a021%3Ag%3AL4IAAeSwWZZpAPXk&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xCDwztcLkMhaqwoUIihsvau18XoFZ1Vwzr2qNS030JJ7qcY%2B22ix5FjQ8pDKVxHm2oLghzGg83%2Fir7nvUqqDqk6%2Fxijpq7TkMaxhd4YP3KF3rSz2dTigrmU6HMcbi161e%2Fu4T3qAo%2FhvbqrTFgPQSsIIElq0v5UImINnN4WGBpSOMiiKjfSQ3hxpRJRgzncFqma3UTHC%2BkNsbjSOGFftYdU%2FcCCimRp1ndPcn%2B6bjuvBSdKCkaWRwopwER6hGPnIex84OlsMV7vnjCJPZTz%2F8xfqLr%2FLXm9fXpPaF%2B%2BZqA4yWY8BFBLS42jnhv%2FgzCYKL79t--H5QsTWkArt%2Bf8jW%2Ff%7Ctkp%3ABk9SR5DE876TZw&LH_ItemCondition=3000
"Transformers Generations Studio Series SS80 Bumblebee Movie BBM Brawn
Opens in a new window or tab",18.0,0.0,18.0,https://www.ebay.com/itm/396976186070?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80828AJ4HZT5P9C5JC&hash=item5c6d9fe2d6%3Ag%3AQosAAeSwY-1opPjQ&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD12PHUochr3xXrkzEpwBVPTenvDhhieVByuAdyvGoO2aCugbLfmIGD1EKGdf2GhkJqoCjfjcBT4m9RdFthZ2d1iUman5mzy8INBR1sMMOXi1N9nlBhMEMJYNLdo9%2FsAgmG2cVfbZIJYym1pDyr2NDm%2FfqvTSIGdmYIfZKGtWKx7RfQrAZ0Hyj1D8RRdTJFSWR%2BYRN1%2Fy2S81ttOPsnjvy27K4hEOpvQs0ogKAjKVpuLnwlsZUylIrlpGbkQfgkj99DsZCouglldpBvDU4LF8dtUGrwhixNHVV2bCX6eA4POw%3D%3D%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers Brawn Complete SS-80 Studio Series Deluxe Class With Instructions
Opens in a new window or tab",24.97,0.0,24.97,https://www.ebay.com/itm/135671392562?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW805N2X076ZJN62F0B1&hash=item1f96a52932%3Ag%3ANo4AAeSw40Bn7tss&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDiDV8azu%2FhjslrX5K4UW1skUSMA8YPXfeyhCijaJXPf55rzB6eSXarv75MZnEDtwq3R9gSkMflOi6MrHFHOHtcByP0hxKmwPkaK02yP0CYGj2R5ogNOggVbBZ1DJH19A71KSe0LnBSkOVhP7455oznxwcVbVQblSs7Bv0EcxRhZWWc2FoHZvq%2F9V6jMqiD17gFZ1jE%2Ff0%2FK5uTPRAJ0Rf184p2miJ95H%2B%2BkE3D6EGk94F4tf3VnOUAPzJgrtXxeeehfq3wjyqTFYTDKd3wJIzfIol5VVRSKTeHgRCiJVC7dxm3iMsOljaYANdepGYz5WEC5ggAvJkPTUvkDFr8eoqH%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers BUMBLEBEE Studio Series 80 BRAWN (Deluxe Class) Complete
Opens in a new window or tab",5.0,0.0,5.0,https://www.ebay.com/itm/187820882604?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&epid=20051814137&itmmeta=01KJDYWW80SS3TYXZG2Q8AT0XC&hash=item2bbaff3aac%3Ag%3AbXIAAeSw34ppNhtM&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xANwCXimtJsQSGDww%2BEjUAerSsx9211cQpfqubAj8A5uSbWLdWrngLHKa5TlSSzU%2FUs%2F88HChNio9%2B8Bx2XQ%2B5bM%2BQfuqOK6xzYqklkCK7nWsGFBMzFyGB%2BFnWYaKD6K2Zauu1xRmqU3Ys7UFTom54FaBfWhSH6uf%2BSj%2BBjAY%2BKT92eEEsnN%2BbWIIgv2JxKw17Q1tR4wrSFIF0nywPp1587T6VAENpzzP0Lsf9XP%2FfDXQflywVTw2bfEYbuw9ltKJSYyhI9G14ZIhqnQoGVj4MFfEbaTxIxZmWp7HA6%2F1sZ%2Bw%3D%3D%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers Brawn Complete SS-80 Studio Series Deluxe Class
Opens in a new window or tab",19.97,0.0,19.97,https://www.ebay.com/itm/136324705997?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW80B60QF0HPAJ1RT5ZJ&hash=item1fbd95eecd%3Ag%3AsU0AAeSwTzFonxJO&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xAzD7Gj85brM12uunKgBqam3FHcUCYFv1T6ROQdT7sxXNqvxvabMBWT79hdlz6VKsVWThnXm34av%2Biu%2FxL0lbbO11Hv33Xp73TIinOyFX8eJUwOLaFWDOyQWQ4GtjSUMaekrljTjN2mqixt%2BpPrPv7uwV4kwXcfZxZYAvALPjQPV9uzZkbMZf3coY5O0PkaXWlM%2FxHhjoCYwwmI%2BjHUQCOO2qz9%2BuyhP%2FwsgjWIzTr7BOQj8AH4TQ9bRfN4kEsWHS4%2FXhcMxmOb55%2FftCtCf4TJl0mL%2Bm3gFc7PCcRZ5%2FY1X4cq37YXkJPJ5Lyhe2FvXAs35hZTehVG641Rhr%2F67nUz%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers Brawn Complete SS-80 Studio Series Deluxe Class
Opens in a new window or tab",23.97,0.0,23.97,https://www.ebay.com/itm/136515521213?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW80FG2Q2RWWXZAHAMNJ&hash=item1fc8f58abd%3Ag%3AmmsAAeSwEFxo1Si1&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xAXjnfkb3tm26U0ctePv%2FfUNpRiMB5omxuYPlt%2BZ9lPGSP2JbgrUqpd8k5%2BEkE9U9biMqnQ77GvswG%2ByHR8J%2BKE7me0EAjNqjskTe9em1APNcdGBILsdGdQZ82z7FEjc5%2BQA9FSJTz3XC3v7qv2mFbedXd3PxB6y1ui%2FgImQwVkteLqTjBtDXsaGGR8UVwPpqIMdHKGQ6VMes6lfi%2FNDcc93v2Q7JO3Py%2FOv%2FjDruFduOZdII8FSJW7uQgvnujuXq7KV6Yf09THTEgrLXmYWrIvhsWZYjigyRl4zgDvWBHL4A%3D%3D%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers Studio Series 86 Kingdom Brawn Bumblebee Huffer minibots -no weapon
Opens in a new window or tab",65.0,0.0,65.0,https://www.ebay.com/itm/317178456537?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW80S9W3XWAV7BQ3AGRY&hash=item49d94f29d9%3Ag%3ARVgAAeSwvU5oniCl&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDUtoBvHUHBuxFEZH9ZIp130CTNlBfx8IAHPSLBuTOen%2BEXGmycmB47D9zzIZp%2BXcJaRNgEJcFI%2B%2FNeBrGtFUf22LBDzG2EAp9tTCG9W4xG%2Ftxn2XPJ9yzOXAJ%2B1EgWUn4HwuNDiqFWVjH2lwH2F9ryLw5iG2inDsGacGzW8tKOoEQFlvVQbmOxR8TXlk5UIZaMuxfLS09KnU9l%2FsOvV1nwUVqYi1Gkrxm%2BwRFhlbW4f7ttD0Q9u2R5tgGOLGYBfaYzzidaGi3thRPbobdyM7tP5XY7qZJu14lOvbFKHtOHiQ%3D%3D%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers Studio Series 86 Deluxe Class Brawn & Ratchet Autobot Complete
Opens in a new window or tab",30.0,0.0,30.0,https://www.ebay.com/itm/267577624958?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW80D737RGM0VEVVC0CB&hash=item3e4cde897e%3Ag%3AFaAAAeSw53ZpkpJM&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDv9GFnRGOB7l7Meiy6goK3685EmLGT7WoehdZluYxc9NSYfv8G6JACA2ece0VEhSas0uovDgKLDAtPGrt5m%2FQnYXrcdBW%2FoYAwVldQjPRSPkr3xR7wnD7HitLlkvfJk9HrPbGdbec1TTi7h7xN1ItlvMPGjGxoDt7TPbf%2Fzt4FXYXig5B6ygjkiJptav5fKpCzENy1cvNrkN3%2Bo4o2FMYn9iu2GSEComAq8jD1fjsEmxpxPCZ4%2FPzqLJgbxsatnWkLPxULJMT0Ojl%2F5CPaTRXsYnbVFxmrTPLiEo9UycgWdg%3D%3D%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers Studio Series 86 Brawn complete Hasbro SS Deluxe Class
Opens in a new window or tab",24.99,0.0,24.99,https://www.ebay.com/itm/366021260369?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW809JCG4X6Z0WMBCDWN&hash=item5538913451%3Ag%3AupwAAeSw2lBod697&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCEl%2FIkP0q8BOKLrqfwhczOqWOc68RLNA85xnzKN6xR0%2FUVxs3O0ciGOiI5HglaX%2FJ7%2F8KD%2B5A%2BiRC5sXpOB6BDp33r4YkF7S6TfdFLtKTGp2pyxpBknNTPvlHhSxHXh02l6BfLpsLHQHMd%2FHVtgfNv9VaC9nrQnVrWK7XbjS1VLMm8sPcyYY1iVsopNlAiNAIDeJb6X%2ByUsXQHasY%2F%2BhDz1QNwDEPDDBxKeb3DdCpPsrZ%2B1nEb4H9UdPGBy1S6YQsbypDoR5au3gow%2BvSGjWK1cUxchXomafpt9bQFoNiH0w%3D%3D%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
"Transformers The Movie Studio Series Deluxe Class Bumblebee 86 29 Action Figure
Opens in a new window or tab",14.99,0.0,14.99,https://www.ebay.com/itm/147059758033?_skw=Studio+Series+80+Deluxe+Class+Bumblebee+Autobot+Brawn&itmmeta=01KJDYWW81QMCB1BP0MYJ293Q8&hash=item223d71d3d1%3Ag%3AqiAAAeSwqYJpUcPa&itmprp=enc%3AAQALAAABEGfYFPkwiKCW4ZNSs2u11xDOOL7sJKhiaWliAsTK%2BVH5UX%2FnU2Wolda5IakZowXOhfR7Bz8sQIcgj4v6JcRPfJJIQpvfHJMTX5yZywKVZ2T%2F3gvcpdbZAmFDGfqtdI86TEkAnCYHfByRVJChgk9ZpoM2Fg1gZzPkqzNtAWZ42fQEbV2%2FuAYHjz5hHi8VA0TtLheEoLcfHcUcajVY67tQq0QUEsy9UQ93gi%2BmhJ%2FxZPUB6An%2BcsaO1bWKPHGVs3Gb0rstGKHCi6DAm0CiPiV9TKcQWVJGmraaKtWA6sxcg48kJku1dImlfPXVQKbs6q5k2v6%2FNALnEUZCY8IIAFZPf4K8ZKTOCjxhU41zJ%2Bms40Q0%7Ctkp%3ABk9SR5LE876TZw&LH_ItemCondition=3000
